//char	type	Width	Filename
 	item	3	FontItem20.png
!	item	4	FontItem21.png
"	item	4	FontItem22.png
#	item	6	FontItem23.png
$	item	6	FontItem24.png
%	item	6	FontItem25.png
&	item	6	FontItem26.png
'	item	2	FontItem27.png
(	item	4	FontItem28.png
)	item	4	FontItem29.png
*	item	6	FontItem2A.png
+	item	6	FontItem2B.png
,	item	2	FontItem2C.png
-	item	4	FontItem2D.png
.	item	2	FontItem2E.png
/	item	5	FontItem2F.png
0	item	7	FontItem30.png
1	item	7	FontItem31.png
2	item	7	FontItem32.png
3	item	7	FontItem33.png
4	item	7	FontItem34.png
5	item	7	FontItem35.png
6	item	7	FontItem36.png
7	item	7	FontItem37.png
8	item	7	FontItem38.png
9	item	7	FontItem39.png
:	item	2	FontItem3A.png
;	item	2	FontItem3B.png
<	item	5	FontItem3C.png
=	item	4	FontItem3D.png
>	item	5	FontItem3E.png
?	item	6	FontItem3F.png
@	item	6	FontItem40.png
A	item	5	FontItem41.png
B	item	5	FontItem42.png
C	item	5	FontItem43.png
D	item	5	FontItem44.png
E	item	5	FontItem45.png
F	item	5	FontItem46.png
G	item	5	FontItem47.png
H	item	5	FontItem48.png
I	item	2	FontItem49.png
J	item	5	FontItem4A.png
K	item	5	FontItem4B.png
L	item	5	FontItem4C.png
M	item	6	FontItem4D.png
N	item	5	FontItem4E.png
O	item	5	FontItem4F.png
P	item	5	FontItem50.png
Q	item	6	FontItem51.png
R	item	5	FontItem52.png
S	item	5	FontItem53.png
T	item	6	FontItem54.png
U	item	5	FontItem55.png
V	item	6	FontItem56.png
W	item	6	FontItem57.png
X	item	6	FontItem58.png
Y	item	6	FontItem59.png
Z	item	5	FontItem5A.png
[	item	3	FontItem5B.png
\	item	6	FontItem5C.png
]	item	3	FontItem5D.png
^	item	4	FontItem5E.png
_	item	4	FontItem5F.png
`	item	2	FontItem60.png
a	item	6	FontItem61.png
b	item	5	FontItem62.png
c	item	5	FontItem63.png
d	item	5	FontItem64.png
e	item	5	FontItem65.png
f	item	4	FontItem66.png
g	item	5	FontItem67.png
h	item	5	FontItem68.png
i	item	2	FontItem69.png
j	item	4	FontItem6A.png
k	item	5	FontItem6B.png
l	item	2	FontItem6C.png
m	item	6	FontItem6D.png
n	item	5	FontItem6E.png
o	item	5	FontItem6F.png
p	item	5	FontItem70.png
q	item	5	FontItem71.png
r	item	4	FontItem72.png
s	item	5	FontItem73.png
t	item	4	FontItem74.png
u	item	5	FontItem75.png
v	item	6	FontItem76.png
w	item	6	FontItem77.png
x	item	6	FontItem78.png
y	item	5	FontItem79.png
z	item	5	FontItem7A.png
{	item	4	FontItem7B.png
|	item	2	FontItem7C.png
}	item	4	FontItem7D.png
~	item	6	FontItem7E.png
„	item	4	FontItem84.png
Š	item	5	FontItem8A.png
Œ	item	7	FontItem8C.png
‘	item	3	FontItem91.png
’	item	2	FontItem92.png
“	item	5	FontItem93.png
”	item	4	FontItem94.png
š	item	5	FontItem9A.png
œ	item	7	FontItem9C.png
Ÿ	item	6	FontItem9F.png
¡	item	4	FontItemA1.png
ª	item	5	FontItemAA.png
«	item	6	FontItemAB.png
º	item	4	FontItemBA.png
»	item	6	FontItemBB.png
¿	item	6	FontItemBF.png
À	item	5	FontItemC0.png
Á	item	5	FontItemC1.png
Â	item	5	FontItemC2.png
Ã	item	5	FontItemC3.png
Ä	item	5	FontItemC4.png
Å	item	5	FontItemC5.png
Æ	item	8	FontItemC6.png
Ç	item	6	FontItemC7.png
È	item	5	FontItemC8.png
É	item	5	FontItemC9.png
Ê	item	5	FontItemCA.png
Ë	item	5	FontItemCB.png
Ì	item	3	FontItemCC.png
Í	item	3	FontItemCD.png
Î	item	4	FontItemCE.png
Ï	item	4	FontItemCF.png
Ð	item	5	FontItemD0.png
Ñ	item	5	FontItemD1.png
Ò	item	5	FontItemD2.png
Ó	item	5	FontItemD3.png
Ô	item	5	FontItemD4.png
Õ	item	5	FontItemD5.png
Ö	item	5	FontItemD6.png
Ø	item	5	FontItemD8.png
Ù	item	5	FontItemD9.png
Ú	item	5	FontItemDA.png
Û	item	5	FontItemDB.png
Ü	item	5	FontItemDC.png
Ý	item	6	FontItemDD.png
Þ	item	5	FontItemDE.png
ß	item	6	FontItemDF.png
à 	item	6	FontItemE0.png
á	item	6	FontItemE1.png
â	item	6	FontItemE2.png
ã	item	6	FontItemE3.png
ä	item	6	FontItemE4.png
å	item	6	FontItemE5.png
æ	item	8	FontItemE6.png
ç	item	5	FontItemE7.png
è	item	5	FontItemE8.png
é	item	5	FontItemE9.png
ê	item	5	FontItemEA.png
ë	item	5	FontItemEB.png
ì	item	3	FontItemEC.png
í	item	3	FontItemED.png
î	item	4	FontItemEE.png
ï	item	4	FontItemEF.png
ð	item	5	FontItemF0.png
ñ	item	5	FontItemF1.png
ò	item	5	FontItemF2.png
ó	item	5	FontItemF3.png
ô	item	5	FontItemF4.png
õ	item	5	FontItemF5.png
ö	item	5	FontItemF6.png
ø	item	5	FontItemF8.png
ù	item	5	FontItemF9.png
ú	item	5	FontItemFA.png
û	item	5	FontItemFB.png
ü	item	5	FontItemFC.png
ý	item	5	FontItemFD.png
þ	item	5	FontItemFE.png
ÿ	item	5	FontItemFF.png
 	text	4	FontText20.png
!	text	3	FontText21.png
"	text	5	FontText22.png
#	text	8	FontText23.png
$	text	6	FontText24.png
%	text	8	FontText25.png
&	text	7	FontText26.png
'	text	2	FontText27.png
(	text	4	FontText28.png
)	text	4	FontText29.png
